Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Dichotomopilus;OTU8,-57139.22,8.677787632934515e-4,0.0039773194968209845,Int,0.014409890617708481,1.8943268698900533e-4,0.017345190148935045,3.7886537397801065e-4,OTU,Int
Rozellomycota_gen_Incertae_sedis;OTU73,-3602.12,0.007422708192025503,0.023713599329260423,Ext,0.0030544470915205633,2.6186236514088196e-4,0.002820373710579974,5.237247302817639e-4,OTU,Ext
Glomus;OTU74,5895.67,8.677787592652061e-4,0.002959224092833877,Ext,6.271105080322045e-4,0.043235546709015756,4.2212679328680624e-4,0.04174882795681121,OTU,Ext
Linnemannia;OTU85,-160.19,8.677787588888013e-4,0.002959224092833877,Ext,0.9399639115692836,0.0728518408166173,0.5515075050831302,0.037608176681813855,OTU,Ext
Pyrenochaeta;OTU99,-168.78,0.00940360640659811,0.028974563902563717,Ext,0.06352356275239338,0.02021710624934541,0.028813566362043398,0.015022240982725065,OTU,Ext
Cyathus;OTU104,121178.41,8.677787647253427e-4,0.002959224092833877,Ext,0.0019464182949089385,0.0117599891059691,0.0018226595068581049,0.00928462304440312,OTU,Ext
Betamyces;OTU117,5899.05,8.677787588331732e-4,0.002959224092833877,Ext,0.008127247071185527,0.03129014314625874,0.0045361823460714195,0.008277161626573295,OTU,Ext
Betamyces;OTU120,11317.41,8.677787588872262e-4,0.002959224092833877,Ext,0,0.012205376451281507,0,0.007839607457011677,OTU,Ext
Betamyces;OTU122,409729.86,8.677787934780706e-4,0.002959224092833877,Ext,2.296590940408058e-4,0.009471347249580857,4.593181880816116e-4,0.00857486553738325,OTU,Ext
Rhizophydiales_gen_Incertae_sedis;OTU123,-1295.52,0.004709610352919478,0.015881852690122905,Ext,0.00992423466354498,0.0014990106529690407,0.0041200625767838514,0.0029980213059380813,OTU,Ext
Paraglomus;OTU125,-890.57,8.677787588735987e-4,0.002959224092833877,Ext,0.09482486639242585,0.0036520412574035247,0.037001418117900274,0.004996403885714926,OTU,Ext
Paraglomus;OTU127,-1322.89,0.0099837226352844,0.03045286251064136,Ext,0.007703258418425108,7.939532520325203e-4,0.005608771435073203,0.0015879065040650406,OTU,Ext
Lecythophora;OTU137,10794.96,8.677787588954011e-4,0.002959224092833877,Ext,0.005742925089408409,0.021503724917038836,0.005341448708872039,0.005803169343614055,OTU,Ext
Sclerostagonospora;OTU147,245.06,8.67778758938831e-4,0.002959224092833877,Ext,0.006630919229612914,0.6380495349393754,0.00861254170283096,0.5130896266979686,OTU,Ext
Sclerostagonospora;OTU148,40.61,8.677787588029255e-4,0.002959224092833877,Ext,0.02563253672702339,1.6415062606557251,0.007436177397650558,0.3460094812420784,OTU,Ext
Filobasidium;OTU153,-14939.95,8.677787588915556e-4,0.002959224092833877,Ext,0.009570213382866824,0,0.005994368163881842,0,OTU,Ext
Glomeraceae_gen_Incertae_sedis;OTU157,4002.69,0.013623172384317888,0.03775920412689029,Ext,0,0.005471809333702639,0,0.00408439953064674,OTU,Ext
Trichophaeopsis;OTU186,31286.87,8.677787798688245e-4,0.002959224092833877,Ext,2.0712681960911026e-4,0.10123750363865155,4.142536392182205e-4,0.19084001238095202,OTU,Ext
Sporormiella;OTU194,626.84,8.677787588755369e-4,0.002959224092833877,Ext,0.007044093488578572,0.1368266682778744,0.003846083153893708,0.05769823179172232,OTU,Ext
Sporormiaceae_gen_Incertae_sedis;OTU197,177.4,8.677787588368793e-4,0.002959224092833877,Ext,0.14649848246382907,0.8263380031534332,0.10118845800952028,0.4170597947941663,OTU,Ext
Claroideoglomus;OTU204,8688.55,8.677787588739713e-4,0.002959224092833877,Ext,2.296590940408058e-4,0.009674910965885738,4.593181880816116e-4,0.0038762760617074782,OTU,Ext
Xenasmatella;OTU206,776.39,0.01689763180072566,0.04498623904842314,Ext,1.9817677368212446e-4,0.0160736327495917,3.9635354736424893e-4,0.015292573455108566,OTU,Ext
Aaosphaeria;OTU207,241.06,8.677787589034139e-4,0.002959224092833877,Ext,0.0061805510874582865,0.36006577563467645,0.007765295653829182,0.1631562733155832,OTU,Ext
Rozellomycota_gen_Incertae_sedis;OTU208,5800.45,8.677787589744905e-4,0.002959224092833877,Ext,0,0.034159569127527475,0,0.01982092504581048,OTU,Ext
Microascales_gen_Incertae_sedis;OTU229,-611.18,0.014253177385313669,0.03906572286526529,Ext,0.011267431793924275,0.0038901089465093516,0.0037013001485413405,0.003676275499592509,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU232,-1892.28,8.677787590029664e-4,0.002959224092833877,Ext,0.17950517910047528,0.06511365057406052,0.04654822096944722,0.04199175992320431,OTU,Ext
Sordariales_gen_Incertae_sedis;OTU239,5557.9,8.677787588755302e-4,0.002959224092833877,Ext,0.0010853308294866664,0.02910092333731449,0.0013412433583417306,0.01254390030763408,OTU,Ext
Gibellulopsis;OTU245,-1188.7,8.677787590176159e-4,0.002959224092833877,Ext,0.25762260764855593,0.07987778081175749,0.11533338187933435,0.02648395355120051,OTU,Ext
Brunneochlamydosporium;OTU247,-337.45,0.0072671709412788716,0.023339538419874472,Ext,0.04318848455836234,0.010000876984414252,0.019981350445080884,0.007614710993209888,OTU,Ext
Lasiosphaeriaceae_gen_Incertae_sedis;OTU267,-405.71,0.009591795767498383,0.029405151671068275,Ext,0.051609754763159245,0.005087758067397589,0.04121001089389202,0.0028837611080710706,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU275,-142.73,8.677787590181341e-4,0.002959224092833877,Ext,2.4725702571300507,0.8989040010902942,0.7698062001837719,0.4841986900826484,OTU,Ext
Coniochaeta;OTU279,461.27,8.677787591555617e-4,0.002959224092833877,Ext,0.029093997193100213,0.5190559048794569,0.009212087400393613,0.5049327907088712,OTU,Ext
Kurtzmanomyces;OTU287,3799.12,0.01362317242084594,0.03775920412689029,Ext,0,0.006076296334882601,0,0.005371847221547367,OTU,Ext
Periconia;OTU292,659.02,8.677787588110491e-4,0.002959224092833877,Ext,0.011969059130617514,0.1730205855951798,0.004130493022571346,0.09039163194655689,OTU,Ext
Fusidium;OTU306,-1710.51,8.67778758878721e-4,0.002959224092833877,Ext,0.06386750861294686,0.012357413744333755,0.00971313741766491,0.012193901245395829,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU312,-2210.32,8.677787599528724e-4,0.002959224092833877,Ext,0.258857979605251,0.06773329636561526,0.1752824427436996,0.025613184088749515,OTU,Ext
Rhizophagus;OTU319,23038.51,8.677787588563308e-4,0.002959224092833877,Ext,0,0.003307732859739434,0,0.0014435237820767883,OTU,Ext
Thelebolaceae_gen_Incertae_sedis;OTU327,-392.81,8.67778758862914e-4,0.002959224092833877,Ext,0.2601815450870632,0.05611697188164232,0.06422783804638782,0.01786375378633989,OTU,Ext
Pseudeurotiaceae_gen_Incertae_sedis;OTU330,-792.91,8.677787589146848e-4,0.002959224092833877,Ext,0.14359069662130206,0.01919629774450676,0.034947071496671964,0.013360096769442838,OTU,Ext
Pleosporales_gen_Incertae_sedis;OTU332,-12189.16,8.677787590136606e-4,0.002959224092833877,Ext,0.017024794842178892,0.0020452888359115077,0.013162044722340657,0.0021643863212971563,OTU,Ext
Articulospora;OTU349,1019.22,0.006277752864767378,0.0205978161562908,Ext,0.0032355073207474038,0.03887964812193052,0.003931660222576994,0.05278390338876842,OTU,Ext
Trichoderma;OTU354,32.02,8.677787588135175e-4,0.002959224092833877,Ext,0.36170915951558874,4.165665143756389,0.2838081455253335,1.4405806756002804,OTU,Ext
Trichoderma;OTU357,6799.97,8.677787595551728e-4,0.002959224092833877,Ext,0.0021671273430227587,0.049581844806463715,0.001803064572231448,0.05519254649927124,OTU,Ext
Lasiosphaeriaceae_gen_Incertae_sedis;OTU363,-778.37,8.677787589430549e-4,0.002959224092833877,Ext,0.30184168113492627,0.07055973973753912,0.12170746212233022,0.026851956676046614,OTU,Ext
Sordariales_gen_Incertae_sedis;OTU365,-627.95,0.0054326099444440895,0.017921707805856318,Ext,0.0877020686993903,0.0020844191603099542,0.11785252990127909,0.003530450713716457,OTU,Ext
Sordariales_gen_Incertae_sedis;OTU380,-3188.33,8.677787588081797e-4,0.002959224092833877,Ext,0.0369713267520779,2.6186236514088196e-4,0.014924014588697595,5.237247302817639e-4,OTU,Ext
Schizothecium;OTU382,-1450.46,8.67778758983182e-4,0.002959224092833877,Ext,0.2220246278708624,0.07010055575577563,0.033793962515864244,0.06340120332855369,OTU,Ext
Schizothecium;OTU386,-5881.65,8.677787592536125e-4,0.002959224092833877,Ext,0.07049322223995352,0.02898795683870375,0.04476184168932056,0.00819813005627168,OTU,Ext
Schizothecium;OTU388,13996.26,8.677787588869157e-4,0.002959224092833877,Ext,0.00063496268733204055,0.011261819948277466,4.266111355202559e-4,0.007267078723356579,OTU,Ext
Sordariales_gen_Incertae_sedis;OTU390,-1605.67,8.67778759295722e-4,0.002959224092833877,Ext,0.16433449726757438,0.008104961863525472,0.14206630030744205,0.008758494927615457,OTU,Ext
Neoschizothecium;OTU392,37.78,0.004949605523793877,0.016507750290894966,Ext,0.15128276153166448,0.448278664835922,0.12272248479074462,0.10921759618258417,OTU,Ext
Sordariales_gen_Incertae_sedis;OTU400,46.92,8.677787588518679e-4,0.002959224092833877,Ext,0.07255240751909577,1.6718505314721677,0.015798060341054836,0.6114863741918628,OTU,Ext
