"ASV","padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)"
"Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces","p>0.05",-2.79,"Extensive",0.27985794777665984,"BMc",3.605,0.28718913613464153
"Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter","p>0.05",-1.82,"Extensive",0.51209143865102,"Ctrl",2.635,0.5279828129695128
"Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter","p>0.05",-1.82,"Extensive",0.508091526512033,"BMc",2.276,0.5279828129695128
"Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella","p>0.05",-0.83,"Extensive",2.4765457419901846,"Ctrl",6.499,0.45712581613239917
"Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella","p>0.05",-0.83,"Extensive",0.4038634516572547,"BMc",4.935,0.45712581613239917
"Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;Unclassified_67-14","p>0.05",-3.58,"Extensive",1.788076644466038,"Ctrl",6.911,0.24058163504423508
"Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;Unclassified_67-14","p>0.05",-3.58,"Extensive",0.21989071179874733,"BMc",5.029,0.24058163504423508
"Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter","p>0.05",-3.08,"Extensive",1.1016695255310216,"Ctrl",3.88,0.30848431637143575
"Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter","p>0.05",-3.08,"Extensive",0.29915053809647124,"BMc",2.93,0.30848431637143575
"Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45","p>0.05",0.61,"Extensive",0.5463774697582703,"Ctrl",2.057,1
"Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45","p>0.05",0.61,"Extensive",0.3645793487645055,"BMc",2.156,1
"Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus","p<0.05",181.14,"Extensive",0.40768207541656465,"Ctrl",3.165,0.018962576952091352
"Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus","p<0.05",181.14,"Extensive",0.9792901297844561,"BMc",4.989,0.018962576952091352
"Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae","p>0.05",-3.19,"Extensive",0.5603261858050818,"Ctrl",2.216,0.45712581613239917
"Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae","p>0.05",-3.19,"Extensive",0.057930550343943406,"BMc",1.831,0.45712581613239917
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Unclassified_Methyloligellaceae","p>0.05",22.54,"Extensive",0.18049963140024905,"Ctrl",1.876,0.14161996565887694
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Unclassified_Methyloligellaceae","p>0.05",22.54,"Extensive",0.2498418851922797,"BMc",2.323,0.14161996565887694
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Unclassified_Xanthobacteraceae","p>0.05",2.1,"Extensive",0.7510930652218757,"Ctrl",1.53,0.45712581613239917
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Unclassified_Xanthobacteraceae","p>0.05",2.1,"Extensive",0.4581842807360494,"BMc",2.16,0.45712581613239917
"Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas","p>0.05",1.31,"Extensive",1.8695874057789876,"Ctrl",3.001,0.3700847387202405
"Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas","p>0.05",1.31,"Extensive",0.15624895260564664,"BMc",4.566,0.3700847387202405
