"","RH.CT.Ext.C1..2020.trimmed","RH.CT.Ext.C2..2020.trimmed","RH.CT.Ext.C3..2020.trimmed","RH.CT.Ext.C4..2020.trimmed","RH.CT.Ext.I1..2020.trimmed","RH.CT.Ext.I2..2020.trimmed","RH.CT.Ext.I3..2020.trimmed","RH.CT.Ext.I4..2020.trimmed","RH.CT.Int.C1..2020.trimmed","RH.CT.Int.C2..2020.trimmed","RH.CT.Int.C3..2020.trimmed","RH.CT.Int.C4..2020.trimmed","RH.CT.Int.I1..2020.trimmed","RH.CT.Int.I2..2020.trimmed","RH.CT.Int.I3..2020.trimmed","RH.CT.Int.I4..2020.trimmed"
"ASV327",0.130063173541434,0.0850412450038269,0.0727289256574013,0,0,0.0519178452017528,0.0623173457108475,0.0424045393049694,0.131434358234039,0.128832097596887,0.160953177257525,0.21440189265119,0,0.0585272046988984,0,0
"ASV2287",0,0,0,0,0,0,0,0,0,0.107798285744334,0.0982441471571906,0.11829069939376,0,0,0,0
"ASV155",0.280771295264049,0.22110723700995,0.188640650923885,0.245167564939012,0.168495545399019,0.159906963221398,0.212738525012893,0.147406255679179,0.0624851867014285,0.0762475679655045,0.0668896321070234,0.0690029079796934,0.174450376224305,0.179762128718045,0.208065458796026,0.197578075207138
"ASV81",0.361286593170651,0.231737392635428,0.420464101456851,0.145884832029825,0.240106152193601,0.249205656968413,0.232078390923156,0.167598893443451,0.193919544935468,0.139349003523163,0.154682274247492,0.187293607373454,0.239606540838203,0.422231976756339,0.240794856808884,0.244316974718504
"ASV3",1.12721417069243,1.11829237180032,1.2068456101275,1.24204725047615,0.951999831504455,0.980208917409092,0.964844421523122,0.90261090806292,0.77998750296266,0.736183414839354,0.654264214046823,0.648134457094978,0.931102610450208,1.05557994189085,1.10344827586207,1.24707881878054
"ASV1023",0.326190181262645,0,0,0.0607853466790939,0,0,0,0,0.148671651117192,0.0920229268549193,0.0543478260869565,0,0,0,0,0
"ASV103",0.332383665716999,0.301896419763585,0.311370712970749,0.145884832029825,0.20430084879631,0.172367246069819,0.204143029052776,0.22413827918341,0.228394130701773,0.32865331019614,0.309364548494983,0.320370644191434,0.161839505653874,0.19021341527142,0.165984804208065,0.178457616316125
"ASV1637",0.0701928238160122,0,0,0,0,0,0,0,0.0689491715326108,0.0920229268549193,0.0898829431438127,0,0,0,0,0
"ASV34",0.315867707172055,0.61867505740284,0.825018750426146,0.156015723143008,0.50127424756208,0.658318277158225,0.614577961148358,0.664337782444521,0.672254422442955,0.686228111689541,1.05978260869565,0.865000739316871,0.531758375719871,0.54555715808616,0.45353594389246,0.579987253027406
"ASV362",0.127998678723316,0.0935453695042095,0.106820609559308,0,0.0695044124770951,0.0830685523228044,0.100997077531374,0.0625971770692405,0.099114434078128,0.141978230004733,0.18185618729097,0.0985755828281335,0,0,0.0701344243132671,0
"ASV611",0.0763863082703662,0.0574028403775831,0.0500011363894634,0.0932041982412773,0.0779291897470461,0.0976055489792952,0,0.0767320235042304,0,0,0,0,0.0651561646138972,0.0480759181455237,0.0818234950321449,0.0382409177820268
"ASV261",0.0495478756348322,0.208351050259376,0.254551239800905,0,0.155858379494092,0.201441239382801,0.212738525012893,0.173656684772732,0.269332701299261,0.220855024451806,0.307274247491639,0.2957267484844,0.159737693892135,0.160949812921971,0.100526008182349,0.227321011259826
"ASV902",0,0.0361425291266264,0.0568194731698448,0.0729424160149127,0.0610796352071442,0.0477644175856125,0.066615093690906,0.0343274841992609,0,0,0,0,0.0546471058052041,0.0815200351163228,0.0397428404441847,0.0488633949437009
"ASV2820",0,0,0,0,0.0589734408896565,0.0706082694743837,0,0,0,0,0,0,0.0924797175164992,0.073159005873623,0.049094097019287,0
"ASV4887",0,0,0,0,0,0,0,0,0.0301652625455172,0.14986590944944,0.0376254180602007,0,0,0,0,0
"ASV187",0.138321152813906,0.146696147631601,0.172731198436328,0.174251327146736,0.160070768129068,0.151600107989118,0.143974557331958,0.153464047008461,0.112042403740493,0.0683598885207972,0.0355351170568562,0.0468234018433634,0.132414140989533,0.167220584853996,0.172998246639392,0.189080093477799
"ASV192",0.125934183905198,0.310400544263968,0.361371849360213,0.0952303764639138,0.147433602224141,0.203517953190871,0.255716004813478,0.179714476102013,0.273642024520049,0.273439554083189,0.290551839464883,0.2957267484844,0.151330446845181,0.17767187140737,0.203389830508475,0.174208625451455
