"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0894987.09FU" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"SH0895028.09FU" 99 45 73 123 105 49 367 600 168 218 196 313 107 92 238 356
"SH0895052.09FU" 4 1 0 2 8 3 7 9 12 11 3 8 2 2 0 7
"SH0895078.09FU" 155 88 81 117 395 125 498 744 556 833 397 636 138 140 251 445
"SH0895099.09FU" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0895138.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"SH0895922.09FU" 0 0 1 0 0 0 11 0 0 0 13 0 0 0 0 0
"SH0896090.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3
"SH0896910.09FU" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SH0896937.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SH0898067.09FU" 0 0 0 0 0 0 0 3 5 0 0 0 0 2 17 0
"SH0898088.09FU" 3 1 13 0 43 9 27 48 38 70 72 127 5 9 35 31
"SH0898373.09FU" 0 0 0 0 17 0 0 0 1 0 0 0 0 0 1 7
"SH0898657.09FU" 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
"SH0898782.09FU" 1 1 3 0 3 10 9 8 0 5 12 0 0 0 64 34
"SH0898958.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0
"SH0899079.09FU" 1 8 1 3 16 8 6 1 4 4 0 1 5 13 4 24
"SH0900727.09FU" 7 1 4 5 60 20 11 3 5 19 0 7 29 14 8 8
"SH0901290.09FU" 30 7 11 12 54 22 18 33 11 8 13 19 19 7 3 25
"SH0902179.09FU" 4 0 12 0 0 0 0 0 0 0 8 3 0 0 0 0
"SH0902181.09FU" 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"SH0902182.09FU" 0 0 2 0 0 0 0 0 5 0 0 0 0 0 0 0
"SH0902250.09FU" 0 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH0902763.09FU" 0 0 0 0 1 1 45 10 0 0 0 4 0 0 1 3
"SH0902929.09FU" 0 3 0 0 6 0 0 1 0 0 0 0 0 0 0 0
"SH0902966.09FU" 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0 6
"SH0902983.09FU" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1
"SH0902990.09FU" 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"SH0903500.09FU" 6 3 9 20 1 6 4 11 8 8 1 0 2 6 15 7
"SH0903505.09FU" 81 57 18 50 13 15 23 0 16 8 12 3 20 39 34 29
"SH0903506.09FU" 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2
"SH0903508.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"SH0903512.09FU" 3 0 8 0 48 27 17 23 0 0 0 0 10 4 23 11
"SH0903514.09FU" 72 55 50 75 43 25 39 20 14 60 34 18 21 18 8 23
"SH0903515.09FU" 0 0 9 0 0 12 6 0 0 1 0 0 12 4 20 1
"SH0903525.09FU" 14 0 22 1 25 0 0 0 7 17 12 11 0 0 6 0
"SH0903958.09FU" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0903997.09FU" 1 1 0 0 0 9 10 53 78 126 79 171 10 0 0 4
"SH0904014.09FU" 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0
"SH0904015.09FU" 0 0 0 0 0 1 0 5 3 4 13 18 3 0 0 0
"SH0905240.09FU" 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"SH0905381.09FU" 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0 6
"SH0905493.09FU" 6 0 9 11 221 1 73 89 12 0 0 1 0 0 21 1
"SH0905518.09FU" 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0
"SH0905550.09FU" 374 517 258 431 415 185 732 529 177 216 276 472 365 259 250 439
"SH0905751.09FU" 1 0 0 0 16 10 11 0 0 0 1 0 39 1 0 20
"SH0905769.09FU" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0905822.09FU" 7 9 0 1 0 13 1 1 12 35 0 1 0 7 0 0
"SH0905823.09FU" 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"SH0905922.09FU" 0 10 3 4 18 11 42 50 2 5 4 17 18 17 19 30
"SH0905941.09FU" 12 22 3 51 16 14 29 18 5 20 115 8 67 205 19 15
"SH0905953.09FU" 0 1 0 52 0 0 0 0 0 19 0 0 0 0 0 0
"SH0905976.09FU" 0 0 0 1 0 0 3 1 0 0 0 0 2 0 5 0
"SH0905985.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"SH0906010.09FU" 14 20 8 17 70 43 101 150 28 37 15 51 20 59 97 67
"SH0906021.09FU" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"SH0906047.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"SH0906589.09FU" 25 766 89 63 375 254 459 1073 1046 602 372 289 202 204 555 283
"SH0906620.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"SH0906670.09FU" 1 25 4 5 50 96 3 103 2 21 1 6 194 1264 288 731
"SH0906750.09FU" 15 49 32 42 1749 2514 1264 1212 28 37 21 36 1956 1168 1628 1636
"SH0907050.09FU" 712 1307 547 503 63 138 56 19 551 498 406 85 126 230 163 458
"SH0907055.09FU" 0 0 0 0 0 6 0 0 0 1 1 0 0 0 0 0
"SH0907094.09FU" 0 0 0 0 0 7 0 0 0 0 0 0 4 0 0 1
"SH0907115.09FU" 3 0 0 0 6 0 0 0 2 0 2 16 0 8 1 0
"SH0907557.09FU" 4 0 0 0 0 12 0 5 21 8 4 13 0 0 0 0
"SH0907564.09FU" 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 0
"SH0907570.09FU" 0 26 13 4 6 38 1 0 76 20 15 31 1 19 24 16
"SH0907798.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"SH0907869.09FU" 0 0 0 0 0 0 7 0 0 0 0 0 9 7 0 5
"SH0907941.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"SH0907999.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"SH0908008.09FU" 0 0 0 0 0 0 0 0 0 5 1 0 4 0 0 5
"SH0908010.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"SH0908124.09FU" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"SH0908617.09FU" 0 0 0 0 9 0 0 11 0 0 0 0 0 0 0 0
"SH0909461.09FU" 17 68 97 113 55 33 208 189 130 350 309 281 24 147 46 157
"SH0909531.09FU" 0 0 1 9 5 0 0 4 0 2 7 2 0 0 0 1
"SH0912146.09FU" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"SH0913342.09FU" 78 87 24 18 1316 164 3 34 8 10 27 73 8 7 14 353
"SH0913400.09FU" 0 2 0 1 1 10 0 0 0 158 2 2 3 1 0 0
"SH0913426.09FU" 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0
